4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
113	7.941776469093356e-08	2.1793602448487137e-07	1.450188233628057e-07	3.471306691165858e-07	2.2443658805373927e-07	4.4212676531749047e-07
114	7.872717543275153e-08	2.171116515783913e-07	1.437577901161726e-07	3.458802701851226e-07	2.2248496554892415e-07	4.406931940764831e-07
115	7.140113371629925e-08	1.9923905612004177e-07	1.476084452085701e-07	3.496701756940074e-07	2.1900957892486932e-07	4.385237297217753e-07
116	6.69235989767191e-08	1.951157188363788e-07	1.4403851886214807e-07	3.4911748745866875e-07	2.109621178388672e-07	4.382812573941833e-07
117	5.912879608263503e-08	1.8519165919706197e-07	1.4252430901464763e-07	3.500477500531848e-07	2.016531050972827e-07	4.2797587143967066e-07
118	5.805372706295077e-08	1.8367035596623655e-07	1.442024456125264e-07	3.485113877420443e-07	2.0225617267547722e-07	4.2527086901283903e-07
119	5.968140165350077e-08	1.8596637670361717e-07	1.4078387684976426e-07	3.284053211235652e-07	2.0046527850326504e-07	4.1136525315793945e-07
120	6.551462669438421e-08	1.9208255802282518e-07	1.3340168213698919e-07	3.188597925987396e-07	1.9891630883137344e-07	4.0682952497149096e-07
121	6.045179217142303e-08	1.8374305854619266e-07	1.1395874918764843e-07	2.5408336277229084e-07	1.7441054135907147e-07	3.1681348155924563e-07
122	5.297385961392163e-08	1.7340190326270316e-07	1.0495204642968344e-07	2.4666170226376934e-07	1.5792590604360508e-07	2.970228242081806e-07
123	5.5622552594617715e-08	1.772690158861906e-07	8.670365351302265e-08	1.96147416342334e-07	1.4232620610764034e-07	2.6288042364635314e-07
124	5.618439656021992e-08	1.7807345209531723e-07	8.757944799295217e-08	1.9694093447876747e-07	1.4376384455317208e-07	2.638133398706673e-07
125	5.618439656021992e-08	1.7807345209531723e-07	8.757944799295217e-08	1.9694093447876747e-07	1.4376384455317208e-07	2.638133398706673e-07
126	5.675770672920175e-08	1.7888875753995375e-07	8.847311582961495e-08	1.977433661782897e-07	1.452308225588167e-07	2.6475385969087714e-07
127	5.675770672920175e-08	1.7888875753995375e-07	8.847311582961495e-08	1.977433661782897e-07	1.452308225588167e-07	2.6475385969087714e-07
128	5.618439656021992e-08	1.7807345209531723e-07	8.757944799295217e-08	1.9694093447876747e-07	1.4376384455317208e-07	2.638133398706673e-07
129	5.5622552594617715e-08	1.7726901588619062e-07	8.670365351302265e-08	1.9614741634233397e-07	1.4232620610764037e-07	2.628804236463531e-07
130	5.734283772641001e-08	1.7971517368496218e-07	8.430143840532481e-08	1.9442240952581033e-07	1.4164427613173482e-07	2.63735902240872e-07
131	5.794015895272679e-08	1.8055294933121115e-07	8.517957838871361e-08	1.9524093960048756e-07	1.431197373414404e-07	2.647073982700121e-07
132	5.675770672920175e-08	1.7888875753995375e-07	8.344121964608682e-08	1.9361336729244242e-07	1.4019892637528853e-07	2.6277271761689163e-07
133	5.794015895272679e-08	1.8055294933121115e-07	7.817495017868863e-08	1.8588447989139576e-07	1.361151091314154e-07	2.594527329034703e-07
134	5.794015895272679e-08	1.8055294933121115e-07	7.276786875340619e-08	1.8045080532160926e-07	1.30708027706133e-07	2.568107244690231e-07
135	5.917292829214651e-08	1.8226361267287005e-07	7.431612128007441e-08	1.8204464293595096e-07	1.3348904957222092e-07	2.58812173055512e-07
136	5.917292829214651e-08	1.8226361267287005e-07	7.431612128007441e-08	1.8204464293595096e-07	1.3348904957222092e-07	2.58812173055512e-07
137	5.917292829214651e-08	1.8226361267287005e-07	7.431612128007441e-08	1.8204464293595096e-07	1.3348904957222092e-07	2.58812173055512e-07
138	5.917292829214651e-08	1.8226361267287005e-07	7.431612128007441e-08	1.8204464293595096e-07	1.3348904957222092e-07	2.58812173055512e-07
139	5.855005536275549e-08	1.8140234089061995e-07	7.353384631923152e-08	1.8124274040718143e-07	1.3208390168198698e-07	2.578066064471512e-07
140	4.717529492257994e-08	1.52749731107235e-07	7.201768453945355e-08	1.7966865020282383e-07	1.1919297946203349e-07	2.407188604180921e-07
141	4.920433986548661e-08	1.5567976772348512e-07	6.013375545231877e-08	1.5668596824497005e-07	1.0933809531780536e-07	2.2888587228826293e-07
142	5.0285753928464334e-08	1.5720837724237232e-07	6.145537645127084e-08	1.5814184517630793e-07	1.1174113037973514e-07	2.3080646787685897e-07
143	4.9739169646633194e-08	1.564385660184228e-07	6.07873832289744e-08	1.5740906423595032e-07	1.1052655287560759e-07	2.2984087815198898e-07
144	5.0285753928464334e-08	1.5720837724237232e-07	6.145537645127084e-08	1.5814184517630793e-07	1.1174113037973513e-07	2.3080646787685897e-07
