4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
104	1.1149736071816573e-07	2.54284143060684e-07	3.9193629264425684e-08	1.1098700636098109e-07	1.506909899825914e-07	2.860171347896912e-07
105	1.1041324435090865e-07	2.5424146788671994e-07	3.711177231591822e-08	1.0728638207982798e-07	1.4752501666682687e-07	2.86260437834721e-07
106	9.855712432203401e-08	2.1000865920751695e-07	3.9942761344944105e-08	1.1667592703433357e-07	1.3849988566697808e-07	2.633214388278138e-07
107	1.0104175770830378e-07	2.120482058660928e-07	4.094972171498471e-08	1.1796282860377995e-07	1.4199147942328844e-07	2.656885863780636e-07
108	1.0019974306073456e-07	2.1136250278201375e-07	4.0608474034026506e-08	1.1752925694776779e-07	1.4080821709476106e-07	2.648939116878919e-07
109	1.03654906614553e-07	2.1414119032806858e-07	4.200876624209639e-08	1.192921472207664e-07	1.4566367285664934e-07	2.68106572441848e-07
110	1.0909966263764787e-07	2.2114107858045222e-07	4.1649716957975914e-08	1.1884418997029902e-07	1.5074937959562374e-07	2.7251979273127594e-07
111	1.1099704807482435e-07	2.2258316638921116e-07	4.2374059861592876e-08	1.1974507048382634e-07	1.533711079364172e-07	2.7414693268560106e-07
112	1.2125255302431093e-07	2.3984473612380205e-07	4.274576214108053e-08	1.2020304852117995e-07	1.6399831516539143e-07	2.8717730165933596e-07
113	1.2125255302431093e-07	2.39844736123802e-07	4.274576214108053e-08	1.2020304852117995e-07	1.6399831516539143e-07	2.8717730165933596e-07
114	1.1686673759478926e-07	2.3804505278650362e-07	3.5711169055146225e-08	9.876149128431869e-08	1.5257790664993546e-07	2.713821006021077e-07
115	1.1999709663750684e-07	2.4043218926958707e-07	3.666771822626621e-08	9.99000552886421e-08	1.5666481486377304e-07	2.738260225838237e-07
116	1.1999709663750684e-07	2.4043218926958707e-07	3.666771822626621e-08	9.99000552886421e-08	1.5666481486377304e-07	2.738260225838237e-07
117	1.0529547629375101e-07	2.147362897470783e-07	3.288209185513265e-08	9.60938635534259e-08	1.3817756814888367e-07	2.4641493155734206e-07
118	9.917253944456547e-08	2.1065470074735874e-07	3.8697147858776585e-08	1.1469107132085939e-07	1.3786968730334204e-07	2.488568210382072e-07
119	9.762660970167564e-08	2.10230118718255e-07	3.9782114621172196e-08	1.1610204339307257e-07	1.3740872432284781e-07	2.4964581455139613e-07
120	9.570712661444571e-08	2.0998016453861728e-07	4.053986918538499e-08	1.1707143590132106e-07	1.362469957998307e-07	2.503760666453768e-07
121	1.0370895639804041e-07	2.163478989481736e-07	4.069359589063174e-08	1.2459913979674907e-07	1.4440255228867215e-07	2.6907616529323935e-07
122	1.0757025916749145e-07	2.2609583483064725e-07	3.9530921722327975e-08	1.2299324105109035e-07	1.4710118088981942e-07	2.751804385534335e-07
123	1.1429060430216432e-07	2.3289332419779154e-07	3.388270379489059e-08	1.1580293712395302e-07	1.481733080970549e-07	2.8068861722958724e-07
124	1.1544505485067103e-07	2.3378172847932243e-07	3.422495332817232e-08	1.1633599852366888e-07	1.4967000817884335e-07	2.817053565679947e-07
125	1.1544505485067103e-07	2.3378172847932243e-07	3.422495332817232e-08	1.1633599852366888e-07	1.4967000817884335e-07	2.817053565679947e-07
