4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
80	1.010010891692618e-07	9.235198495673287e-08	5.915177590408921e-08	5.0692653856897435e-08	1.60152865073351e-07	1.3764522273320977e-07
81	1.0045794423986432e-07	9.196769627539048e-08	5.870020357032577e-08	5.0614782630633595e-08	1.5915814781019012e-07	1.372079851498742e-07
82	1.0070333535396108e-07	9.259152593414439e-08	5.8392006750692716e-08	5.066126755701697e-08	1.5909534210465379e-07	1.3789726966538944e-07
83	9.866177341624086e-08	8.91740063693836e-08	5.826309859786893e-08	5.0864098382453616e-08	1.5692487201410982e-07	1.3669803255580492e-07
84	9.787569095334766e-08	8.910723682510573e-08	5.743604430971914e-08	5.0245579149797565e-08	1.553117352630668e-07	1.360998157399084e-07
85	9.624271175128853e-08	8.88291120050647e-08	5.650484320131597e-08	5.009543425444418e-08	1.527475549526045e-07	1.3567602185961988e-07
86	9.592005298617703e-08	8.879442103110187e-08	5.645458171855373e-08	4.912488336712141e-08	1.5237463470473079e-07	1.347927068884508e-07
87	9.533334339695495e-08	8.946920803002083e-08	5.639508086947386e-08	4.9979146629390426e-08	1.517284242664288e-07	1.3641246920757156e-07
88	9.519857839211946e-08	8.854454096554141e-08	5.727654429472235e-08	4.968467955010079e-08	1.5247512268684182e-07	1.3545706081291764e-07
89	9.48829872394731e-08	8.793198171837053e-08	5.733043098995621e-08	4.907074066241533e-08	1.522134182294293e-07	1.3408348052971878e-07
90	9.460014766052041e-08	8.76819323355775e-08	5.662787024382293e-08	4.898877953086862e-08	1.5122801790434335e-07	1.3377476820199425e-07
91	9.373224665918774e-08	8.626162886549992e-08	5.565889145294455e-08	4.804134277050734e-08	1.4939113811213233e-07	1.313493002124362e-07
92	9.345134218597312e-08	8.642270587062952e-08	5.5271004299858776e-08	4.8357735149891626e-08	1.487223464858319e-07	1.3185237685935042e-07
93	9.419792902181343e-08	8.558241814156184e-08	5.49562188147013e-08	4.8362473215479466e-08	1.4915414783651475e-07	1.3087087101681055e-07
94	9.183488543029027e-08	7.964795045333906e-08	5.4187631181128076e-08	4.5768067231888334e-08	1.4602251661141835e-07	1.2217027733235846e-07
95	9.238389360794237e-08	7.916066518766806e-08	5.440598797181781e-08	4.552723498881777e-08	1.467898815797602e-07	1.2144576319639851e-07
96	9.32801103457932e-08	7.914025187007009e-08	5.4654451163207555e-08	4.582270508343299e-08	1.4793456150900076e-07	1.2165221052919578e-07
97	9.078488078175818e-08	7.823897571631547e-08	5.3415949741881305e-08	4.520754500597925e-08	1.442008305236395e-07	1.2006609781766445e-07
